,city_name,lat,lng,concession-30years-1m2,concession-30years-1place,concession-30years-2m2,concession-30years-2places,concession-30years-3m2,concession-30years-3places,concession-30years-4m2,concession-30years-4places,concession-30years-5m2,concession-30years-6m2,concession-30years-6places
0,Aix-en-Provence,43.5006794,5.3799892,,,690.0,,,,,,,,
1,Aix-en-Provence,43.5227119,5.4593939,,,690.0,,,,,,,,
2,Aix-en-Provence,43.5799404,5.4224541,,,690.0,,,,,,,,
3,Aix-en-Provence,43.6120153,5.3831706,,,690.0,,,,,,,,
4,Allauch,43.3463779,5.4851396,1500.0,,,,,,,,,,
5,Arles,43.4222773,4.7336587,,,783.0,,,,,,,,
6,Arles,43.5235973,4.7161499,,,783.0,,,,,,,,
7,Arles,43.5573628,4.7211405,,,783.0,,,,,,,,
8,Arles,43.648517,4.7115248,,,783.0,,,,,,,,
9,Arles,43.6537611,4.7419692,,,783.0,,,,,,,,
10,Arles,43.6771144,4.6337878,,,783.0,,,,,,,,
11,Arles,43.6819597,4.6260543,,,783.0,,,,,,,,
12,Arles,43.690516,4.6455212,,,783.0,,,,,,,,
13,Berre-l'Étang,43.4806134,5.1680465,,,360.0,1250.0,,,,1800.0,,,
14,Berre-l'Étang,43.4823643,5.1644025,,,360.0,1250.0,,,,1800.0,,,
15,Berre-l'Étang,43.4824986,5.1626214,,,360.0,1250.0,,,,1800.0,,,
16,Bouc-Bel-Air,43.4529648,5.4137015,,,360.0,,,,,,,,
17,Bouc-Bel-Air,43.470843,5.4024577,,,360.0,,,,,,,,
18,Cabannes,43.8573572,4.949673,,,,,525.0,,,,,1025.0,
19,Cabriès,43.4435108,5.3768256,,,510.0,,,,,,,,
20,Châteauneuf-le-Rouge,43.4909286,5.5727197,,,500.0,,,,,,,,
21,Châteauneuf-les-Martigues,43.3862364,5.1618503,,,400.0,,,,,,,,
22,Cuges-les-Pins,43.2717098,5.7006618,,,339.0,,,,,,,,
23,Eyragues,43.8400733,4.8451919,,,4700.0,,,,,,,,
24,Fos-sur-Mer,43.4384161,4.9456603,,,361.0,,,,361.0,,,,
25,Fuveau,43.4584217,5.558228,,,,,,780.0,,,,,980.0
26,Gignac-la-Nerthe,43.3920602,5.2488637,,,,726.0,,,,884.0,,,1113.0
27,Istres,43.4880965,4.955159,,,537.0,,,,,,,,
28,Istres,43.509046,4.9914775,,,537.0,,,,,,,,
29,Istres,43.51644,4.9857928,,,378.0,,,,,,,,
30,Istres,43.587447,4.9387297,,,378.0,,,,,,,,
31,La Ciotat,43.174682,5.6020371,1994.93,750.0,4848.0,750.0,,,7341.0,,,,
32,La Ciotat,43.1933886,5.611013,1994.93,750.0,4848.0,750.0,,,7341.0,,,,
33,La Ciotat,43.1966004,5.6278511,1994.93,750.0,4848.0,750.0,,,7341.0,,,,
34,Lambesc,43.6569447,5.260019,,,,1167.0,,,,,,,
35,Lançon-Provence,43.5884247,5.1314838,,,,400.0,,,,,,,
36,Marignane,43.4230516,5.2140548,610.0,,,,,,,,,,
37,Marignane,43.4265723,5.2154722,610.0,,,,,,,,,,
38,Marseille,43.3089673,5.4765535,,,885.0,,,,,,,,
39,Martigues,43.3365412,5.0573276,,,782.06,1719.72,933.82,,1042.74,2248.31,1320.43,1575.45,
40,Martigues,43.3627247,5.0990173,,,782.06,1719.72,933.82,,1042.74,2248.31,1320.43,1575.45,
41,Martigues,43.3695656,5.0525421,,,782.06,1719.72,933.82,,1042.74,2248.31,1320.43,1575.45,
42,Martigues,43.4101243,5.0511746,,,782.06,1719.72,933.82,,1042.74,2248.31,1320.43,1575.45,
43,Martigues,43.4195193,5.0571569,,,782.06,1719.72,933.82,,1042.74,2248.31,1320.43,1575.45,
44,Martigues,43.4212632,5.0173163,,,782.06,1719.72,933.82,,1042.74,2248.31,1320.43,1575.45,
45,Pennes-Mirabeau,43.3985619,5.3382119,,,750.0,,,,,,,,
46,Pennes-Mirabeau,43.4102182,5.3071493,,,750.0,,,,,,,,
47,Pennes-Mirabeau,43.4130543,5.3319242,,,750.0,,,,,,,,
48,Port-Saint-Louis-du-Rhône,43.3883307,4.8360287,,,153.9,,,,,,,,
49,Saint-Martin-de-Crau,43.6369735,4.7991372,,,,960.0,,,,,,,
50,Saint-Mitre-les-Remparts,43.4552478,5.0104554,,,360.0,,,,,,,,
51,Saint-Rémy-de-Provence,43.7842645,4.8286868,,,750.0,,,,,,,,
52,Saintes-Maries-de-la-Mer,43.4577941,4.4267472,500.0,,,,,,,,,,
53,Tarascon,43.8100427,4.6705514,,,510.0,,,,,,,,
54,Trets,43.4440725,5.6768966,,,,,,,,2300.0,,,2300.0
55,Vernègues,43.6947068,5.1971846,180.0,,,,,,,,,,
